"date","location_name","location","horizon","rate_diff","category","season","weekly_rate","count","numeric_category"
2023-10-07,"Alaska","02",0,NA,NA,24,1.40562757054142,10,NA
2023-10-07,"Alaska","02",1,NA,NA,24,1.40562757054142,10,NA
2023-10-07,"Alaska","02",2,NA,NA,24,1.40562757054142,10,NA
2023-10-07,"Alaska","02",3,NA,NA,24,1.40562757054142,10,NA
2023-10-07,"Alabama","01",0,NA,NA,24,0.394962022426734,20,NA
2023-10-07,"Alabama","01",1,NA,NA,24,0.394962022426734,20,NA
2023-10-07,"Alabama","01",2,NA,NA,24,0.394962022426734,20,NA
2023-10-07,"Alabama","01",3,NA,NA,24,0.394962022426734,20,NA
2023-10-07,"Arkansas","05",0,NA,NA,24,0.558865279935619,17,NA
2023-10-07,"Arkansas","05",1,NA,NA,24,0.558865279935619,17,NA
2023-10-07,"Arkansas","05",2,NA,NA,24,0.558865279935619,17,NA
2023-10-07,"Arkansas","05",3,NA,NA,24,0.558865279935619,17,NA
2023-10-07,"Arizona","04",0,NA,NA,24,0.217953422808662,16,NA
2023-10-07,"Arizona","04",1,NA,NA,24,0.217953422808662,16,NA
2023-10-07,"Arizona","04",2,NA,NA,24,0.217953422808662,16,NA
2023-10-07,"Arizona","04",3,NA,NA,24,0.217953422808662,16,NA
2023-10-07,"California","06",0,NA,NA,24,0.115721242544755,45,NA
2023-10-07,"California","06",1,NA,NA,24,0.115721242544755,45,NA
2023-10-07,"California","06",2,NA,NA,24,0.115721242544755,45,NA
2023-10-07,"California","06",3,NA,NA,24,0.115721242544755,45,NA
2023-10-07,"Colorado","08",0,NA,NA,24,0.172302450071919,10,NA
2023-10-07,"Colorado","08",1,NA,NA,24,0.172302450071919,10,NA
2023-10-07,"Colorado","08",2,NA,NA,24,0.172302450071919,10,NA
2023-10-07,"Colorado","08",3,NA,NA,24,0.172302450071919,10,NA
2023-10-07,"Connecticut","09",0,NA,NA,24,0.110464006822257,4,NA
2023-10-07,"Connecticut","09",1,NA,NA,24,0.110464006822257,4,NA
2023-10-07,"Connecticut","09",2,NA,NA,24,0.110464006822257,4,NA
2023-10-07,"Connecticut","09",3,NA,NA,24,0.110464006822257,4,NA
2023-10-07,"District of Columbia","11",0,NA,NA,24,0.299143253721342,2,NA
2023-10-07,"District of Columbia","11",1,NA,NA,24,0.299143253721342,2,NA
2023-10-07,"District of Columbia","11",2,NA,NA,24,0.299143253721342,2,NA
2023-10-07,"District of Columbia","11",3,NA,NA,24,0.299143253721342,2,NA
2023-10-07,"Delaware","10",0,NA,NA,24,0.19706918705019,2,NA
2023-10-07,"Delaware","10",1,NA,NA,24,0.19706918705019,2,NA
2023-10-07,"Delaware","10",2,NA,NA,24,0.19706918705019,2,NA
2023-10-07,"Delaware","10",3,NA,NA,24,0.19706918705019,2,NA
2023-10-07,"Florida","12",0,NA,NA,24,1.03679018413935,230,NA
2023-10-07,"Florida","12",1,NA,NA,24,1.03679018413935,230,NA
2023-10-07,"Florida","12",2,NA,NA,24,1.03679018413935,230,NA
